,Image,F1,Jaccard,Recall,Precision
3829,.\files\images\heart7-slice229_saggital.png,0.9620377604166667,0.9268523687363185,0.9620377604166667,0.9620377604166667
3830,.\files\images\heart7-slice230_saggital.png,0.96548828125,0.9332792115845715,0.96548828125,0.96548828125
3831,.\files\images\heart7-slice231_saggital.png,0.9689713541666667,0.9398103128196709,0.9689713541666667,0.9689713541666667
3832,.\files\images\heart7-slice232_saggital.png,0.970068359375,0.9418764519034751,0.970068359375,0.970068359375
3833,.\files\images\heart7-slice233_saggital.png,0.9701236979166666,0.941980795124819,0.9701236979166666,0.9701236979166666
3834,.\files\images\heart7-slice234_saggital.png,0.9710546875,0.9437378990926693,0.9710546875,0.9710546875
3835,.\files\images\heart7-slice235_saggital.png,0.9714453125,0.944476092818351,0.9714453125,0.9714453125
3836,.\files\images\heart7-slice236_saggital.png,0.9714680989583333,0.9445191714272151,0.9714680989583333,0.9714680989583333
3837,.\files\images\heart7-slice237_saggital.png,0.9708658854166666,0.9433813063419263,0.9708658854166666,0.9708658854166666
3838,.\files\images\heart7-slice238_saggital.png,0.9713444010416666,0.9442853390632368,0.9713444010416666,0.9713444010416666
3839,.\files\images\heart7-slice239_saggital.png,0.9720572916666667,0.9456337243178882,0.9720572916666667,0.9720572916666667
3840,.\files\images\heart7-slice240_saggital.png,0.97291015625,0.9472493201741875,0.97291015625,0.97291015625
3841,.\files\images\heart7-slice241_saggital.png,0.973701171875,0.9487501546249513,0.973701171875,0.973701171875
3842,.\files\images\heart7-slice242_saggital.png,0.97462890625,0.9505133431112973,0.97462890625,0.97462890625
3843,.\files\images\heart7-slice243_saggital.png,0.9763053385416667,0.953707560759224,0.9763053385416667,0.9763053385416667
3844,.\files\images\heart7-slice244_saggital.png,0.9785188802083333,0.9579412298955701,0.9785188802083333,0.9785188802083333
3845,.\files\images\heart7-slice245_saggital.png,0.9790169270833333,0.9588963353589716,0.9790169270833333,0.9790169270833333
3846,.\files\images\heart7-slice246_saggital.png,0.978837890625,0.9585528895349393,0.978837890625,0.978837890625
3847,.\files\images\heart7-slice247_saggital.png,0.976787109375,0.9546274468633383,0.976787109375,0.976787109375
3848,.\files\images\heart7-slice248_saggital.png,0.9769661458333333,0.9549695172396238,0.9769661458333333,0.9769661458333333
3849,.\files\images\heart7-slice249_saggital.png,0.9781477864583333,0.9572301879820205,0.9781477864583333,0.9781477864583333
3850,.\files\images\heart7-slice250_saggital.png,0.9786197916666667,0.9581346727518422,0.9786197916666667,0.9786197916666667
3851,.\files\images\heart7-slice251_saggital.png,0.9784212239583333,0.9577540635186678,0.9784212239583333,0.9784212239583333
3852,.\files\images\heart7-slice252_saggital.png,0.9780240885416667,0.956993288761622,0.9780240885416667,0.9780240885416667
3853,.\files\images\heart7-slice253_saggital.png,0.9771256510416667,0.9552743717121699,0.9771256510416667,0.9771256510416667
3854,.\files\images\heart7-slice254_saggital.png,0.9759049479166667,0.9529437193660562,0.9759049479166667,0.9759049479166667
3855,.\files\images\heart7-slice255_saggital.png,0.974833984375,0.9509035312497023,0.974833984375,0.974833984375
3856,.\files\images\heart7-slice256_saggital.png,0.9749088541666666,0.9510460197899069,0.9749088541666666,0.9749088541666666
3857,.\files\images\heart7-slice257_saggital.png,0.97623046875,0.9535646832134613,0.97623046875,0.97623046875
3858,.\files\images\heart7-slice258_saggital.png,0.9761360677083334,0.9533845630478395,0.9761360677083334,0.9761360677083334
3859,.\files\images\heart7-slice259_saggital.png,0.9755403645833334,0.9522487083510743,0.9755403645833334,0.9755403645833334
3860,.\files\images\heart7-slice260_saggital.png,0.9751888020833334,0.9515789874913443,0.9751888020833334,0.9751888020833334
3861,.\files\images\heart7-slice261_saggital.png,0.9747916666666666,0.9508230034545824,0.9747916666666666,0.9747916666666666
3862,.\files\images\heart7-slice262_saggital.png,0.9740169270833333,0.9493498994231904,0.9740169270833333,0.9740169270833333
3863,.\files\images\heart7-slice263_saggital.png,0.9722688802083334,0.9460342899857151,0.9722688802083334,0.9722688802083334
3864,.\files\images\heart7-slice264_saggital.png,0.97279296875,0.9470271709162816,0.97279296875,0.97279296875
3865,.\files\images\heart7-slice265_saggital.png,0.9737044270833334,0.9487563356783537,0.9737044270833334,0.9737044270833334
3866,.\files\images\heart7-slice266_saggital.png,0.97392578125,0.949176739316646,0.97392578125,0.97392578125
3867,.\files\images\heart7-slice267_saggital.png,0.972900390625,0.9472308057998574,0.972900390625,0.972900390625
3868,.\files\images\heart7-slice268_saggital.png,0.9700716145833334,0.9418825894296352,0.9700716145833334,0.9700716145833334
3869,.\files\images\heart7-slice269_saggital.png,0.967880859375,0.937760788729196,0.967880859375,0.967880859375
3870,.\files\images\heart7-slice270_saggital.png,0.9679752604166667,0.9379380389732461,0.9679752604166667,0.9679752604166667
3871,.\files\images\heart7-slice271_saggital.png,0.9697298177083333,0.9412383609426886,0.9697298177083333,0.9697298177083333
3872,.\files\images\heart7-slice272_saggital.png,0.970556640625,0.9427975145852109,0.970556640625,0.970556640625
3873,.\files\images\heart7-slice273_saggital.png,0.971201171875,0.9440146560479928,0.971201171875,0.971201171875
3874,.\files\images\heart7-slice274_saggital.png,0.9708170572916667,0.9432891053721949,0.9708170572916667,0.9708170572916667
3875,.\files\images\heart7-slice275_saggital.png,0.9699739583333333,0.9416984805198089,0.9699739583333333,0.9699739583333333
3876,.\files\images\heart7-slice276_saggital.png,0.97107421875,0.9437747954670564,0.97107421875,0.97107421875
3877,.\files\images\heart7-slice277_saggital.png,0.9718587239583333,0.9452579588089094,0.9718587239583333,0.9718587239583333
3878,.\files\images\heart7-slice278_saggital.png,0.9718196614583333,0.9451840548096132,0.9718196614583333,0.9718196614583333
3879,.\files\images\heart7-slice279_saggital.png,0.9715852864583333,0.9447407487125272,0.9715852864583333,0.9715852864583333
3880,.\files\images\heart7-slice280_saggital.png,0.97060546875,0.942889668911868,0.97060546875,0.97060546875
3881,.\files\images\heart7-slice281_saggital.png,0.969912109375,0.9415818962656782,0.969912109375,0.969912109375
